slug,short,display,vendor,generation,rq,rq_label,log_odds,se,ci_lo,ci_hi,odds_ratio,or_lo,or_hi,delta_pp,delta_pp_lo,delta_pp_hi,n_decept_min_cell,is_singular,item_intercept_sd
openai__gpt-4o-2024-08-06,gpt-4o,GPT-4o,OpenAI,original,wording,Sub-RQ1: wording (interactive vs narrated),0.8170977721864139,0.1678365236964327,0.4881442304510025,1.1460513139218254,2.263919882635772,1.6292898262332522,3.1457467864037443,7.720588235294118,3.5156364916564384,11.925539978931798,55,FALSE,2.654841640586311
openai__gpt-4o-2024-08-06,gpt-4o,GPT-4o,OpenAI,original,split,Sub-RQ2: delivery split (split vs single),2.130106973935968,0.19419116553088428,1.7494992833795788,2.510714664492357,8.415767031012752,5.751721972070291,12.313727100197124,21.20098039215686,16.996028648519182,25.40593213579454,55,FALSE,2.654841640586311
openai__gpt-4o-2024-08-06,gpt-4o,GPT-4o,OpenAI,original,interaction,Sub-RQ3: wording x split interaction,-0.14321055089363274,0.16357265671172558,-0.46380706690414875,0.1773859651168833,0.8665715922627064,0.6288848754692621,1.1940918820100104,0.3676470588235281,-3.8373046848141517,4.572598802461208,55,FALSE,2.654841640586311
openai__gpt-5.4,gpt-5.4,GPT-5.4,OpenAI,new,wording,Sub-RQ1: wording (interactive vs narrated),1.1120592640381854,0.5510679296349699,0.031985968918591956,2.1921325591577787,3.040613377676937,1.0325030180695822,8.954288317523242,0.9803921568627453,-0.18640642209343633,2.147190735818927,3,FALSE,6.681138315239592
openai__gpt-5.4,gpt-5.4,GPT-5.4,OpenAI,new,split,Sub-RQ2: delivery split (split vs single),-0.12301484889874881,0.5421850858879861,-1.1856780901939572,0.9396483923964596,0.8842505323167134,0.30553892628867985,2.559081467621692,1.734723475976807e-16,-1.1667985789561814,1.1667985789561817,3,FALSE,6.681138315239592
openai__gpt-5.4,gpt-5.4,GPT-5.4,OpenAI,new,interaction,Sub-RQ3: wording x split interaction,0.5757071115848011,0.5442866287410987,-0.4910750780144755,1.6424893011840778,1.7783876008907302,0.6119681269246721,5.168018267381405,0.49019607843137253,-0.6766025005248091,1.656994657387554,3,FALSE,6.681138315239592
google__gemini-2.0-flash-001,gemini-2,Gemini-2-Flash,Google,original,wording,Sub-RQ1: wording (interactive vs narrated),-0.10407290692369472,0.13907783672546473,-0.37666045795334757,0.1685146441059581,0.901159594252351,0.6861490107872791,1.1835455586845214,-1.3480392156862697,-6.106697752704726,3.4106193213321867,201,FALSE,2.376091201064045
google__gemini-2.0-flash-001,gemini-2,Gemini-2-Flash,Google,original,split,Sub-RQ2: delivery split (split vs single),1.0377407651106945,0.14534132896227225,0.7528769948794527,1.3226045353419362,2.822832363491989,2.1230993845383264,3.7531839585128575,13.3578431372549,8.599184600236443,18.116501674273355,201,FALSE,2.376091201064045
google__gemini-2.0-flash-001,gemini-2,Gemini-2-Flash,Google,original,interaction,Sub-RQ3: wording x split interaction,0.06416497774726199,0.1390310696446832,-0.208330911488397,0.33666086698292097,1.0662682947928925,0.8119383125369447,1.4002641074149467,0.8578431372548989,-3.9008153997635575,5.616501674273355,201,FALSE,2.376091201064045
google__gemini-3-flash-preview,gemini-3,Gemini-3-Flash,Google,new,wording,Sub-RQ1: wording (interactive vs narrated),1.2839540016118822,0.1773336346475473,0.9363864644551053,1.6315215387686592,3.610888997098265,2.5507475280230203,5.1116463727286,11.764705882352938,7.022642218950964,16.506769545754914,132,FALSE,3.639115642663686
google__gemini-3-flash-preview,gemini-3,Gemini-3-Flash,Google,new,split,Sub-RQ2: delivery split (split vs single),1.3886662919428776,0.17949238127885114,1.0368676891369981,1.740464894748757,4.009498984305294,2.8203688919330507,5.69999270348171,12.745098039215685,8.003034375813712,17.48716170261766,132,FALSE,3.639115642663686
google__gemini-3-flash-preview,gemini-3,Gemini-3-Flash,Google,new,interaction,Sub-RQ3: wording x split interaction,0.09479043971540195,0.16485148038170558,-0.22831252463085216,0.4178934040616561,1.0994284344478167,0.7958754902703693,1.518758772256891,1.2254901960784326,-3.516573467323542,5.9675538594804065,132,FALSE,3.639115642663686
deepseek__deepseek-r1,r1,DeepSeek-R1,DeepSeek,original,wording,Sub-RQ1: wording (interactive vs narrated),0.7916450261262994,0.14349569795398873,0.5103986262000436,1.0728914260525553,2.207024053896782,1.6659551559742325,2.923821302759199,10.049019607843137,5.290554220209544,14.807484995476733,138,FALSE,2.392667982719294
deepseek__deepseek-r1,r1,DeepSeek-R1,DeepSeek,original,split,Sub-RQ2: delivery split (split vs single),0.8678004500647901,0.14423731207814022,0.5851005131647712,1.1505003869648092,2.381666493641136,1.7951714149322102,3.1597736237054908,11.029411764705888,6.270946377072294,15.78787715233948,138,FALSE,2.392667982719294
deepseek__deepseek-r1,r1,DeepSeek-R1,DeepSeek,original,interaction,Sub-RQ3: wording x split interaction,0.07774517177536097,0.13976532660698554,-0.19618983466180837,0.3516801782125303,1.080847193202036,0.821856203074186,1.4214538391058018,1.2254901960784381,-3.5329751915551557,5.983955583712032,138,FALSE,2.392667982719294
deepseek-ai__DeepSeek-V3.2,V3.2,DeepSeek-V3.2,DeepSeek,new,wording,Sub-RQ1: wording (interactive vs narrated),0.8961884967828492,0.15601904703588754,0.5903967836902491,1.2019802098754493,2.450246169320606,1.8047043506047988,3.326697964826383,11.029411764705882,6.978312585000461,15.080510944411301,53,FALSE,1.9020743968688878
deepseek-ai__DeepSeek-V3.2,V3.2,DeepSeek-V3.2,DeepSeek,new,split,Sub-RQ2: delivery split (split vs single),1.5732918962637372,0.16553392020666927,1.2488513744389385,1.897732418088536,4.82249725342302,3.4863361619184463,6.670750805187727,18.627450980392155,14.576351800686732,22.678550160097576,53,FALSE,1.9020743968688878
deepseek-ai__DeepSeek-V3.2,V3.2,DeepSeek-V3.2,DeepSeek,new,interaction,Sub-RQ3: wording x split interaction,0.32274275639428074,0.1520024761737136,0.024823377532894486,0.6206621352556669,1.3809100749245042,1.0251340428299465,1.8601593112290453,5.882352941176472,1.831253761471051,9.933452120881894,53,FALSE,1.9020743968688878
qwen__qwen-2.5-7b-instruct,qwen2.5-7b,Qwen2.5-7B,Qwen,original,wording,Sub-RQ1: wording (interactive vs narrated),0.23186704872183117,0.12141135383877805,-0.006094832116422588,0.46982892956008493,1.2609520724937666,0.9939237036961672,1.5997205049175214,3.5539215686274495,-1.2916900100000996,8.399533147254997,197,FALSE,1.876816887357568
qwen__qwen-2.5-7b-instruct,qwen2.5-7b,Qwen2.5-7B,Qwen,original,split,Sub-RQ2: delivery split (split vs single),0.1679927641932412,0.12131742576148893,-0.06978502099638881,0.40577054938287116,1.1829280511780556,0.9325942865476122,1.500458231889964,2.5735294117646994,-2.2720821668628495,7.419140990392248,197,FALSE,1.876816887357568
qwen__qwen-2.5-7b-instruct,qwen2.5-7b,Qwen2.5-7B,Qwen,original,interaction,Sub-RQ3: wording x split interaction,0.1520129915026727,0.12129455611372437,-0.08571997000099965,0.38974595300634507,1.1641753607211789,0.9178512211125626,1.4766056190103127,2.3284313725490167,-2.517180206078532,7.174042951176565,197,FALSE,1.876816887357568
qwen__qwen3.5-9b,qwen3.5-9b,Qwen3.5-9B,Qwen,new,wording,Sub-RQ1: wording (interactive vs narrated),2.317963305080721,0.4846812022073104,1.3680056047708173,3.2679210053906242,10.154970652583634,3.9275098722674398,26.25669503290118,3.7990196078431375,2.002809558113907,5.595229657572368,3,FALSE,6.5829584633640925
qwen__qwen3.5-9b,qwen3.5-9b,Qwen3.5-9B,Qwen,new,split,Sub-RQ2: delivery split (split vs single),1.7504593974643814,0.4724967127899253,0.8243828575825621,2.6765359373462005,5.757246933219634,2.2804729543720943,14.534657026526007,2.8186274509803924,1.022417401251162,4.614837500709623,3,FALSE,6.5829584633640925
qwen__qwen3.5-9b,qwen3.5-9b,Qwen3.5-9B,Qwen,new,interaction,Sub-RQ3: wording x split interaction,-0.13695860674676194,0.457877176917259,-1.034381382847464,0.76046416935394,0.8720063205635236,0.35544619804153427,2.139268973173492,0.857843137254902,-0.9383669124743282,2.6540531869841324,3,FALSE,6.5829584633640925
